nama,jabatan,kategori
"Susilo Siswoutomo","Dewan Pembina - Ketua","dewan-pembina"
"Agus Irawan","Dewan Pembina - Anggota (ex-officio)","dewan-pembina"
"Sumardi","Dewan Pembina - Anggota","dewan-pembina"
"Dun Sridadi","Dewan Pembina - Anggota","dewan-pembina"
"Amir Yanto","Dewan Pembina - Anggota","dewan-pembina"
"Hadi Pratomo","Dewan Pembina - Anggota","dewan-pembina"
"Sri Yunanto","Dewan Pembina - Anggota","dewan-pembina"
"Noorlailie Soewarno","Dewan Pembina - Anggota","dewan-pembina"
"Agus Suryonugroho","Dewan Pembina - Anggota","dewan-pembina"
"Haryanto WS","Dewan Pembina - Anggota","dewan-pembina"
"Suwarno","Dewan Pembina - Anggota","dewan-pembina"
"Yusroni","Dewan Pembina - Anggota","dewan-pembina"
"Ibnu Widodo","Dewan Pembina - Anggota","dewan-pembina"
"Tatik Saroso","Dewan Pembina - Anggota","dewan-pembina"
"Djoepri Bandang","Dewan Pembina - Anggota","dewan-pembina"
"Marsusi","Dewan Pembina - Anggota","dewan-pembina"
"Agung Wardoyo","Dewan Pembina - Anggota","dewan-pembina"
"Wimboh Santosa","Dewan Pengawas - Ketua","dewan-pengawas"
"Sulaiman Arif Arianto","Dewan Pengawas - Anggota","dewan-pengawas"
"Gatot Darmasto","Dewan Pengawas - Anggota","dewan-pengawas"
"Sayideti Sukandi","Dewan Pengawas - Anggota","dewan-pengawas"
"Firdaus Muchtar","Dewan Pengawas - Anggota","dewan-pengawas"
"Jaka Pujiyono","Dewan Pengawas - Anggota","dewan-pengawas"
"Aloys Sutarto","Dewan Pengawas - Anggota","dewan-pengawas"
"Bambang Supardi","Dewan Pengawas - Anggota","dewan-pengawas"
"Imam Santosa","Dewan Pengawas - Anggota","dewan-pengawas"
"Hartanto Wibowo","Dewan Pengawas - Anggota","dewan-pengawas"
"Wartono","Dewan Pengawas - Anggota","dewan-pengawas"
"Didik Haryadi","Ketua Umum","pengurus-pusat"
"Ibnu Hadyanto","Ketua Harian I","pengurus-pusat"
"Ali Mahfud","Ketua Harian II","pengurus-pusat"
"Yulianto","Sekretaris Jenderal","pengurus-pusat"
"Adi Surya Tri Wibowo","Sekretaris I","pengurus-pusat"
"S. Nurmawati","Sekretaris II","pengurus-pusat"
"Risdianto","Bendahara Umum","pengurus-pusat"
"Dandi","Urusan Komunikasi Organisasi","pengurus-pusat"
"Elang Sukma","Urusan Komunikasi Organisasi","pengurus-pusat"
"Iin Wibisono","Urusan Administrasi Organisasi","pengurus-pusat"
"Endah R","Urusan Administrasi Organisasi","pengurus-pusat"
"Tri Hartono","Bendahara I","pengurus-pusat"
"Chrismiyastuti","Bendahara II","pengurus-pusat"
"Gigih Fajar","Urusan Dana Internal","pengurus-pusat"
"Sri Hastuti","Urusan Kas dan Lapangan","pengurus-pusat"
"Andy Arvianto","Ketua Bidang Pengembangan Organisasi","bidang"
"Bambang Widjajarso","Wakil Ketua Bidang Pengembangan Organisasi","bidang"
"Joko Karsono","Koordinator I Bidang Pengembangan Organisasi","bidang"
"Joko Suyono","Koordinator II Bidang Pengembangan Organisasi","bidang"
"Gatot Rahmanto","Sub Bidang Almamater","bidang"
"Sri Sunarti P","Anggota Sub Bidang Almamater","bidang"
"Retno Purwaningsih","Ketua Bidang Integrasi & Pemberdayaan Alumni","bidang"
"Agus Wahyudi","Wakil Ketua Bidang Integrasi & Pemberdayaan Alumni","bidang"
"Fajar Eko Ananto","Koordinator I Bidang Integrasi & Pemberdayaan Alumni","bidang"
"Erlita Titis Dewi","Koordinator II Bidang Integrasi & Pemberdayaan Alumni","bidang"
"Kurnia Adhiwibowo","Sub Bidang Database","bidang"
"Muh Imron","Sub Bidang Sinergi Alumni","bidang"
"Agus Winarno","Ketua Bidang Ekonomi","bidang"
"Tri Setyo Utomo","Wakil Ketua Bidang Ekonomi","bidang"
"Wargino","Koordinator I Bidang Ekonomi","bidang"
"Dharu Nugroho","Koordinator II Bidang Ekonomi","bidang"
"Eko Darmono","Sub Bidang Dana dan Usaha","bidang"
"Singgih Wirawan","UMKM/Ekonomi Kreatif","bidang"
"Wahono Sukarjo","Ketua Bidang Partisipasi Sosial Masyarakat","bidang"
"Menuk Sri Sugiarti","Wakil Ketua Bidang Partisipasi Sosial Masyarakat","bidang"
"Hari Setyono","Koordinator I Bidang Partisipasi Sosial Masyarakat","bidang"
"Gunawan Wibisono","Koordinator II Bidang Partisipasi Sosial Masyarakat","bidang"
"Kristiani","Sub Bidang Silaturahmi Alumni","bidang"
"Yuni Etty","Sub Bidang Sosial Masyarakat","bidang"
